title,questions,answers
I can not find the three videos on this page,"Professor, Sorry, accordong to the message you sent to us, there should be three videos about Unix and Python. Unfortunately, I can not find them on this wedsite~ So could you please tell me where exactly the videos are? Best wishes",https://edstem.org/courses/1189/lessons/  here it is 
Peer study group,"Is anyone interested in forming a peer study group to meet on weekends (Saturday or Sunday) or weeknights (Tuesday or Friday) at UNSW/CBD? If you are interested, can you please comment below with your preferred time and location?",good idea~ let‘s form a group. 
Lecture_1 practice_Dict,I was trying to practise the turning machine example you taught in the lecture and I am struck with dictionary order when I run the for iteration in the instructions dictionary. I have attached the screen shots for your reference.The sequence of the keys in the output has changed surprisingly.,"Hi Phanindra, a dictionary is an unordered structure; we can iterate over all keys, but they are then enumerated in an order which is arbitrary, it can be different from machine to machine, and from run to run on a given machine."
Inaccuracy of standard deviation,"I am doing Lab_1 and find out that the standard deviation calculated manually is not consistent with the one calculated by standard module statistics. here is my code snippet
size = len(L)
L.sort()
mean = sum(L) / size
median = (L[size // 2] + L[size // 2 - 1]) / 2 if size % 2 == 0 else L[size // 2]
standard_deviation = sqrt(sum([(e-mean) ** 2 for e in L]) / size)
is inaccuracy caused by accumulated inaccuracy of float numbers calculation or I messed something up? Thanks

","Hi Tianle, I guess you are importing and using stdev rather than pstdev from the statistics module, hence estimate the the standard deviation from a sample rather than computing it from the population."
Doubt regarding enumerate(),"I had this doubt. I was looking at the functions in the Jupyter sheets where I came across this. Question : How is the output generated? For instance in the first command, the enumeration is being done in sorted/random manner? My thinking was that it would be sorting the set and then assigning integar values to get => [(0,10),(1,15),(2,25),(3,40)]. Is it being done randomly? If not what is happening behind the scene?

I tried with other command. Here too I am confused whats happening:",">>> type({100,200,300,400})

<class 'set'>

The type of {100,200,300,400} is 'set'. 'set' is unordered, so you cannot access the values using index unlike 'list' or 'tuple'.

More details: https://docs.python.org/3.6/library/stdtypes.html?highlight=set#set-types-set-frozenset"
Question about Drawing an Hexagram,"Dear Prof,

I'm wondering if there is some way to set the line colour to invisible, or set the line width = 0 so that I can just overwrite the filling other than the frame. Every time I draw a new triangle with line colour set to ('') and filling colour set to ('white') the prev just seem to kind of colour fading. I tried to read the python 3.6 turtle graphics documentation but I couldn't find my answers. So I post for help.

This question comes from my trying another way to draw an hexagram. That is, 
1) To draw a triangle with red line, white filling; adjust its direction;
2) To draw a new triangle with blue line, white filling; now I get this:3) To draw a new triangle in the same position as the first one, but with no line colour, and still white filling; now I get this:
Seems like I've got the right shape, but the line colour is lighter. To make it look better, I continuously draw the fourth triangle to overwrite the blue one. Finally I get this: 
In brief, how should I do to overwrite the filling to 'cut' the overlap lines but do nothing with the previous lines? I guess there may be some way like to set lines invisible or transparent...","Hi Tianpeng, I am sure you read the document at least as well as I did... The way I do it is draw one third of the line, then pen up and move by one third, then pen down and draw the remaining one third."
"
Lab","Silly question, are we to attend the lab tonight and complete the lab work with Matthew Perry,  6:30 to 8:30pm? Or is the session purely for people with queries only?


Promie ","Lab work is not assessed (there are no marks for it), these ""lab sessions"" are consultation for you to attend only if you have questions, if you need support."
Unix terminal issue,"As you have shown in the lecture, there are some commands operating on the terminal on your mac. however, the operating system I use on my laptop is windows 7 rather than Unix. So many commands you show on your mac are not recognized on my terminal. I wonder that are there equivalent commands for windows? Is it necessary for me to install a Unix operating system or use the virtual machine in order to catch you up on this terminal commands part? Am I going to get into further trouble if I keep running python on my windows system in this course?","Hi Xiaohan, there are indeed Windows equivalent to most Unix commands.

https://www.lemoda.net/windows/windows2unix/windows2unix.html
As the School machines are running Linux, and as I have a Mac, I can indeed only show you the Unix commands. It is not necessary for you to install a virtual machine on your windows machine, you can do so if you wish so, but it is not necessary for this course, you can score 100 in this course knowing nothing about the command line and Unix. I show you a few things which:

- can be used on a School machine

- provide some insights on working from the terminal (whatever the operating system happens to be).

You can ignore it, or practice it on a School machine, or see what the Windows equivalents are, or install Linux on your Windows machine; just go for the option that suits you."
Terminal software installation problems,"I followed the steps of the video software intallation Jupyter you posted. However, it didn't show the same results as it should be. Rather than the screenshot below, I don't know where is wrong and how to fix it up.","Hi Yufan, it is impossible for me to answer your question just based on this information, as all kinds of things could go wrong. I suggest you go to consultation tonight and ask the tutor to help out with this."
related to Workspaces,"I can not get access to the Jupyter notebook sheets on Workspaces. 

can you give me a permission to open it?  thank you . 

","Hi Jingchang, if you click on the Fork button, doesn't that create your own copy that you can work with?"
